region,site,site_code,lat,long,shrub_ID
Mojave,1,Barstow_1,35.09252406,-116.8371184,1
Mojave,1,Barstow_1,35.09246192,-116.8370501,2
Mojave,1,Barstow_1,35.09260584,-116.8370519,3
Mojave,1,Barstow_1,35.09251176,-116.8365765,4
Mojave,1,Barstow_1,35.09235529,-116.8369915,5
Mojave,1,Barstow_1,35.09253951,-116.8369248,6
Mojave,1,Barstow_1,35.09263379,-116.8366955,7
Mojave,1,Barstow_1,35.0925116,-116.8368181,8
Mojave,1,Barstow_1,35.09229833,-116.8369715,9
Mojave,1,Barstow_1,35.0923243,-116.8370157,10
Mojave,1,Barstow_1,35.09238075,-116.83684,11
Mojave,1,Barstow_1,35.0922686,-116.8368252,12
Mojave,1,Barstow_1,35.09226453,-116.8369683,13
Mojave,1,Barstow_1,35.09241849,-116.8371492,14
Mojave,1,Barstow_1,35.09271469,-116.836904,15
Mojave,1,Barstow_1,35.09275508,-116.8368388,16
Mojave,1,Barstow_1,35.09283822,-116.8367723,17
Mojave,1,Barstow_1,35.09286253,-116.8365732,18
Mojave,1,Barstow_1,35.09281483,-116.8366403,19
Mojave,1,Barstow_1,35.09273962,-116.8365815,20
Mojave,1,Barstow_1,35.09253085,-116.8367031,21
Mojave,1,Barstow_1,35.0926772,-116.836623,22
Mojave,1,Barstow_1,35.09290475,-116.8366762,23
Mojave,1,Barstow_1,35.09301532,-116.8365991,24
Mojave,1,Barstow_1,35.09308432,-116.8365215,25
Mojave,1,Barstow_1,35.09320548,-116.8363932,26
Mojave,1,Barstow_1,35.09326373,-116.8362491,27
Mojave,1,Barstow_1,35.09325267,-116.8363299,28
Mojave,1,Barstow_1,35.09304425,-116.8364367,29
Mojave,1,Barstow_1,35.09303507,-116.836362,30
Mojave,1,Barstow_1,35.09301469,-116.8364134,31
Mojave,1,Barstow_1,35.09292506,-116.8363741,32
Mojave,1,Barstow_1,35.09294897,-116.8363082,33
Mojave,1,Barstow_1,35.09325594,-116.8361777,34
Mojave,1,Barstow_1,35.09319817,-116.8360593,35
Mojave,1,Barstow_1,35.09306329,-116.8362079,36
Mojave,1,Barstow_1,35.09297718,-116.8364223,37
Mojave,1,Barstow_1,35.0933994,-116.8361623,38
Mojave,1,Barstow_1,35.09288238,-116.8363499,39
Mojave,1,Barstow_1,35.09295104,-116.8362575,40
Mojave,1,Barstow_1,35.0929108,-116.8362475,41
Mojave,1,Barstow_1,35.09280041,-116.8362899,42
Mojave,1,Barstow_1,35.0929226,-116.8361385,43
Mojave,1,Barstow_1,35.09294677,-116.8362044,44
Mojave,1,Barstow_1,35.09284981,-116.8360913,45
Mojave,1,Barstow_1,35.0927946,-116.8362405,46
Mojave,1,Barstow_1,35.09282145,-116.8363558,47
Mojave,1,Barstow_1,35.09302514,-116.836241,48
Mojave,1,Barstow_1,35.09301205,-116.8361958,49
Mojave,1,Barstow_1,35.0929101,-116.8359722,50
Mojave,1,Barstow_1,35.09303649,-116.8361119,51
Mojave,1,Barstow_1,35.09307034,-116.8359919,52
Mojave,1,Barstow_1,35.09301898,-116.8359648,53
Mojave,1,Barstow_1,35.09301608,-116.8359182,54
Mojave,1,Barstow_1,35.09300597,-116.8359333,55
Mojave,1,Barstow_1,35.09317376,-116.8360141,56
Mojave,1,Barstow_1,35.09313117,-116.8360224,57
Mojave,1,Barstow_1,35.09311163,-116.8359505,58
Mojave,1,Barstow_1,35.09310353,-116.8359273,59
Mojave,1,Barstow_1,35.09307886,-116.8359334,60
Mojave,1,Barstow_1,35.093061,-116.8359145,61
Mojave,1,Barstow_1,35.09316162,-116.8358396,62
Mojave,1,Barstow_1,35.09315289,-116.8357926,63
Mojave,1,Barstow_1,35.09313921,-116.8358143,64
Mojave,1,Barstow_1,35.0930922,-116.8358438,65
Mojave,1,Barstow_1,35.09311595,-116.8357817,66
Mojave,1,Barstow_1,35.09309458,-116.8358037,67
Mojave,1,Barstow_1,35.09321692,-116.836295,68
Mojave,1,Barstow_1,35.09321635,-116.8362189,69
Mojave,1,Barstow_1,35.09339103,-116.8359667,70
Mojave,1,Barstow_1,35.0932838,-116.8360823,71
Mojave,1,Barstow_1,35.093124,-116.8362866,72
Mojave,1,Barstow_1,35.09340123,-116.8360667,73
Mojave,1,Barstow_1,35.09350787,-116.8360562,74
Mojave,1,Barstow_1,35.0936426,-116.8359038,75
Mojave,1,Barstow_1,35.09362469,-116.8358161,76
Mojave,1,Barstow_1,35.09361343,-116.83572,77
Mojave,1,Barstow_1,35.09358864,-116.8357411,78
Mojave,1,Barstow_1,35.09358279,-116.8356331,79
Mojave,1,Barstow_1,35.09351372,-116.8357295,80
Mojave,1,Barstow_1,35.09351608,-116.8356738,81
Mojave,1,Barstow_1,35.09343428,-116.8358089,82
Mojave,1,Barstow_1,35.09338409,-116.8357906,83
Mojave,1,Barstow_1,35.09334938,-116.8358637,84
Mojave,1,Barstow_1,35.09328039,-116.8358845,85
Mojave,1,Barstow_1,35.09327247,-116.835828,86
Mojave,1,Barstow_1,35.09324085,-116.8358293,87
Mojave,1,Barstow_1,35.09347387,-116.8355666,88
Mojave,1,Barstow_1,35.0933565,-116.8356996,89
Mojave,1,Barstow_1,35.09340711,-116.8356408,90
Mojave,1,Barstow_1,35.09334988,-116.8356074,91
Mojave,1,Barstow_1,35.09330611,-116.8356627,92
Mojave,1,Barstow_1,35.0932681,-116.8357421,93
Mojave,1,Barstow_1,35.09353545,-116.8353554,94
Mojave,1,Barstow_1,35.09351427,-116.8353596,95
Mojave,1,Barstow_1,35.0935031,-116.8354344,96
Mojave,1,Barstow_1,35.09350701,-116.8355092,97
Mojave,1,Barstow_1,35.09342684,-116.8354596,98
Mojave,1,Barstow_1,35.09343645,-116.8353379,99
Mojave,1,Barstow_1,35.09340002,-116.8355653,100
Mojave,1,Barstow_1,35.09331904,-116.8355226,101
Mojave,1,Barstow_1,35.09337474,-116.8354337,102
Mojave,1,Barstow_1,35.09321731,-116.8354976,103
Mojave,1,Barstow_1,35.09323348,-116.83561,104
Mojave,1,Barstow_1,35.09375564,-116.8355842,105
Mojave,1,Barstow_1,35.09373363,-116.8356094,106
Mojave,1,Barstow_1,35.09372886,-116.8356511,107
Mojave,1,Barstow_1,35.09364962,-116.8355368,108
Mojave,1,Barstow_1,35.0937027,-116.8354909,109
Mojave,1,Barstow_1,35.09361437,-116.8355732,110
Mojave,1,Barstow_1,35.09362092,-116.83553,111
Mojave,1,Barstow_1,35.09369453,-116.8354505,112
Mojave,1,Barstow_1,35.09359924,-116.835434,113
Mojave,1,Barstow_1,35.09380001,-116.8355254,114
Mojave,1,Barstow_1,35.09384087,-116.8356657,115
Mojave,1,Barstow_1,35.09379506,-116.8353707,116
Mojave,1,Barstow_1,35.09388118,-116.8354505,117
Mojave,1,Barstow_1,35.09390662,-116.8354445,118
Mojave,1,Barstow_1,35.09401276,-116.835301,119
Mojave,1,Barstow_1,35.0939846,-116.8353373,120
Mojave,1,Barstow_1,35.09412903,-116.8350503,121
Mojave,1,Barstow_1,35.09400073,-116.8351751,122
Mojave,1,Barstow_1,35.09397374,-116.8351876,123
Mojave,1,Barstow_1,35.0939521,-116.8352382,124
Mojave,1,Barstow_1,35.09389903,-116.8351687,125
Mojave,1,Barstow_1,35.09395196,-116.8350556,126
Mojave,1,Barstow_1,35.0938213,-116.8351518,127
Mojave,1,Barstow_1,35.09389422,-116.8352548,128
Mojave,1,Barstow_1,35.09381645,-116.8352991,129
Mojave,1,Barstow_1,35.09382618,-116.8351974,130
Mojave,1,Barstow_1,35.09375757,-116.8352357,131
Mojave,1,Barstow_1,35.09373882,-116.8352915,132
Mojave,1,Barstow_1,35.09372641,-116.8352749,133
Mojave,1,Barstow_1,35.09373025,-116.8351074,134
Mojave,1,Barstow_1,35.09364868,-116.8354449,135
Mojave,1,Barstow_1,35.09367144,-116.8353803,136
Mojave,1,Barstow_1,35.09367616,-116.8352482,137
Mojave,1,Barstow_1,35.09450531,-116.8346382,138
Mojave,1,Barstow_1,35.09449493,-116.8345721,139
Mojave,1,Barstow_1,35.09443384,-116.8346346,140
Mojave,1,Barstow_1,35.09441816,-116.8346823,141
Mojave,1,Barstow_1,35.09441582,-116.8347229,142
Mojave,1,Barstow_1,35.0943592,-116.8347951,143
Mojave,1,Barstow_1,35.09437086,-116.8349349,144
Mojave,1,Barstow_1,35.0943422,-116.8349665,145
Mojave,1,Barstow_1,35.09445487,-116.834557,146
Mojave,1,Barstow_1,35.0942665,-116.8348933,147
Mojave,1,Barstow_1,35.09428249,-116.8345557,148
Mojave,1,Barstow_1,35.09417924,-116.8347664,149
Mojave,1,Barstow_1,35.09415883,-116.8347792,150
Mojave,1,Barstow_1,35.09415874,-116.8347467,151
Mojave,1,Barstow_1,35.09416332,-116.8346942,152
Mojave,1,Barstow_1,35.09416794,-116.8346405,153
Mojave,1,Barstow_1,35.09420314,-116.8345327,154
Mojave,1,Barstow_1,35.09417374,-116.8344859,155
Mojave,1,Barstow_1,35.09424468,-116.8344574,156
Mojave,1,Barstow_1,35.0944664,-116.8344166,157
Mojave,1,Barstow_1,35.09439195,-116.8342948,158
Mojave,1,Barstow_1,35.09421674,-116.8341897,159
Mojave,1,Barstow_1,35.0942358,-116.8342381,160
Mojave,1,Barstow_1,35.09428448,-116.8346932,161
Mojave,1,Barstow_1,35.09417431,-116.8343471,162
Mojave,1,Barstow_1,35.09408457,-116.8346596,163
Mojave,1,Barstow_1,35.09406272,-116.8345605,164
Mojave,1,Barstow_1,35.09407638,-116.8344498,165
Mojave,1,Barstow_1,35.09405906,-116.8344776,166
Mojave,1,Barstow_1,35.0941893,-116.834276,167
Mojave,1,Barstow_1,35.09409009,-116.83438,168
Mojave,1,Barstow_1,35.09400714,-116.8344881,169
Mojave,1,Barstow_1,35.09403929,-116.8343252,170
Mojave,1,Barstow_1,35.09410261,-116.8342795,171
Mojave,1,Barstow_1,35.09404609,-116.8348058,172
Mojave,1,Barstow_1,35.09401544,-116.8348678,173
Mojave,1,Barstow_1,35.09400263,-116.8347673,174
Mojave,1,Barstow_1,35.09401596,-116.8346772,175
Mojave,1,Barstow_1,35.09400074,-116.8346185,176
Mojave,1,Barstow_1,35.09398125,-116.8344382,177
Mojave,1,Barstow_1,35.09404277,-116.8349132,178
Mojave,1,Barstow_1,35.09394566,-116.8349238,179
Mojave,1,Barstow_1,35.09401813,-116.8341769,180
Mojave,1,Barstow_1,35.09425956,-116.8341569,181
Mojave,1,Barstow_1,35.09417972,-116.8341441,182
Mojave,1,Barstow_1,35.09411415,-116.8340215,183
Mojave,1,Barstow_1,35.09407844,-116.834092,184
Mojave,1,Barstow_1,35.0940725,-116.8341578,185
Mojave,1,Barstow_1,35.09402953,-116.8340938,186
Mojave,1,Barstow_1,35.09397711,-116.8342568,187
Mojave,1,Barstow_1,35.09392383,-116.8344232,188
Mojave,1,Barstow_1,35.09393736,-116.8343253,189
Mojave,1,Barstow_1,35.09406338,-116.8339918,190
Mojave,1,Barstow_1,35.09398763,-116.8340149,191
Mojave,1,Barstow_1,35.09396435,-116.8341164,192
Mojave,1,Barstow_1,35.0939244,-116.8339524,193
Mojave,1,Barstow_1,35.09389644,-116.8342161,194
Mojave,1,Barstow_1,35.09387745,-116.8342681,195
Mojave,1,Barstow_1,35.09389826,-116.834705,196
Mojave,1,Barstow_1,35.09387778,-116.8344897,197
Mojave,1,Barstow_1,35.09384958,-116.8347347,198
Mojave,1,Barstow_1,35.09387265,-116.8348564,199
Mojave,1,Barstow_1,35.09385678,-116.8350256,200
Mojave,1,Barstow_1,35.09378154,-116.8350048,201
Mojave,1,Barstow_1,35.09378154,-116.8350602,202
Mojave,1,Barstow_1,35.09381828,-116.8348495,203
Mojave,1,Barstow_1,35.09389008,-116.8340322,204
Mojave,1,Barstow_1,35.09388098,-116.8341164,205
Mojave,1,Barstow_1,35.09385541,-116.8341568,206
Mojave,1,Barstow_1,35.09385066,-116.834385,207
Mojave,1,Barstow_1,35.09382128,-116.8343101,208
Mojave,1,Barstow_1,35.09380164,-116.8342679,209
Mojave,1,Barstow_1,35.09377258,-116.834313,210
Mojave,1,Barstow_1,35.09381301,-116.8341816,211
Mojave,1,Barstow_1,35.09380471,-116.83407,212
Mojave,1,Barstow_1,35.0938404,-116.8339338,213
Mojave,1,Barstow_1,35.09375389,-116.8343509,214
Mojave,1,Barstow_1,35.0937549,-116.8342217,215
Mojave,1,Barstow_1,35.09371236,-116.8343948,216
Mojave,1,Barstow_1,35.09372267,-116.8342668,217
Mojave,1,Barstow_1,35.0936686,-116.8343494,218
Mojave,1,Barstow_1,35.09374191,-116.8341791,219
Mojave,1,Barstow_1,35.09375436,-116.8340118,220
Mojave,1,Barstow_1,35.09387008,-116.8338779,221
Mojave,1,Barstow_1,35.09378257,-116.8339118,222
Mojave,1,Barstow_1,35.09377315,-116.8338837,223
Mojave,1,Barstow_1,35.0936998,-116.8341429,224
Mojave,1,Barstow_1,35.09365123,-116.8340786,225
Mojave,1,Barstow_1,35.09364727,-116.8341493,226
Mojave,1,Barstow_1,35.09363585,-116.8342376,227
Mojave,1,Barstow_1,35.09370932,-116.8339953,228
Mojave,1,Barstow_1,35.09363221,-116.834392,229
Mojave,1,Barstow_1,35.09364713,-116.8339286,230
Mojave,1,Barstow_1,35.09359218,-116.8340196,231
Mojave,1,Barstow_1,35.09361328,-116.8340357,232
Mojave,1,Barstow_1,35.09358824,-116.8342689,233
Mojave,1,Barstow_1,35.09420986,-116.8340888,234
Mojave,1,Barstow_1,35.09412145,-116.8339638,235
Mojave,1,Barstow_1,35.09408879,-116.8338976,236
Mojave,1,Barstow_1,35.09404384,-116.8338988,237
Mojave,1,Barstow_1,35.09397905,-116.8339308,238
Mojave,1,Barstow_1,35.09403605,-116.8338059,239
Mojave,1,Barstow_1,35.09395988,-116.8337902,240
Mojave,1,Barstow_1,35.09390567,-116.8336843,241
Mojave,1,Barstow_1,35.09399751,-116.833678,242
Mojave,1,Barstow_1,35.09384247,-116.8335577,243
Mojave,1,Barstow_1,35.093835,-116.8337895,244
Mojave,1,Barstow_1,35.09380466,-116.833614,245
Mojave,1,Barstow_1,35.09395575,-116.8339083,246
Mojave,1,Barstow_1,35.09379142,-116.8337548,247
Mojave,1,Barstow_1,35.09378207,-116.8337019,248
Mojave,1,Barstow_1,35.0937428,-116.8337383,249
Mojave,1,Barstow_1,35.09396195,-116.8335788,250
Mojave,1,Barstow_1,35.09394423,-116.8335919,251
Mojave,1,Barstow_1,35.09366142,-116.834689,252
Mojave,1,Barstow_1,35.09397541,-116.8345251,253
Mojave,1,Barstow_1,35.09393922,-116.8345177,254
Mojave,1,Barstow_1,35.09374678,-116.8345942,255
Mojave,1,Barstow_1,35.09383744,-116.8345844,256
Mojave,1,Barstow_1,35.0938189,-116.8345312,257
Mojave,1,Barstow_1,35.09381089,-116.834716,258
Mojave,1,Barstow_1,35.09371801,-116.8346826,259
Mojave,1,Barstow_1,35.09369326,-116.8345526,260
Mojave,1,Barstow_1,35.09381289,-116.8346101,261
Mojave,1,Barstow_1,35.09367006,-116.8350777,262
Mojave,1,Barstow_1,35.09366151,-116.8349953,263
Mojave,1,Barstow_1,35.0937493,-116.8348814,264
Mojave,1,Barstow_1,35.09368113,-116.834887,265
Mojave,1,Barstow_1,35.09357022,-116.8349993,266
Mojave,1,Barstow_1,35.09350854,-116.8349062,267
Mojave,1,Barstow_1,35.09367309,-116.834782,268
Mojave,1,Barstow_1,35.09364191,-116.8346591,269
Mojave,1,Barstow_1,35.09359542,-116.8346765,270
Mojave,1,Barstow_1,35.09359542,-116.8347572,271
Mojave,1,Barstow_1,35.09354526,-116.8347688,272
Mojave,1,Barstow_1,35.09355083,-116.8350709,273
Mojave,1,Barstow_1,35.09349876,-116.8347997,274
Mojave,1,Barstow_1,35.09341744,-116.834855,275
Mojave,1,Barstow_1,35.09359947,-116.8345036,276
Mojave,1,Barstow_1,35.09357167,-116.8345073,277
Mojave,1,Barstow_1,35.09356961,-116.8345855,278
Mojave,1,Barstow_1,35.09351402,-116.8346506,279
Mojave,1,Barstow_1,35.09348751,-116.8346813,280
Mojave,1,Barstow_1,35.09345661,-116.8345555,281
Mojave,1,Barstow_1,35.09345457,-116.8346218,282
Mojave,1,Barstow_1,35.09353062,-116.8344512,283
Mojave,1,Barstow_1,35.09350991,-116.8345106,284
Mojave,1,Barstow_1,35.09337689,-116.8346267,285
Mojave,1,Barstow_1,35.0933515,-116.8346193,286
Mojave,1,Barstow_1,35.09343067,-116.8344593,287
Mojave,1,Barstow_1,35.09357811,-116.8341729,288
Mojave,1,Barstow_1,35.09346782,-116.8343243,289
Mojave,1,Barstow_1,35.0934042,-116.8344326,290
Mojave,1,Barstow_1,35.09337456,-116.8344725,291
Mojave,1,Barstow_1,35.09332495,-116.8344845,292
Mojave,1,Barstow_1,35.09329031,-116.8345225,293
Mojave,1,Barstow_1,35.09358308,-116.8340835,294
Mojave,1,Barstow_1,35.09350077,-116.8341043,295
Mojave,1,Barstow_1,35.09351495,-116.8342105,296
Mojave,1,Barstow_1,35.09347166,-116.8341789,297
Mojave,1,Barstow_1,35.09345508,-116.8342708,298
Mojave,1,Barstow_1,35.09338819,-116.8343905,299
Mojave,1,Barstow_1,35.09338422,-116.8343152,300
Mojave,1,Barstow_1,35.09341813,-116.8342532,301
Mojave,1,Barstow_1,35.09337336,-116.8342681,302
Mojave,1,Barstow_1,35.09337966,-116.8341336,303
Mojave,1,Barstow_1,35.0934167,-116.8340745,304
Mojave,1,Barstow_1,35.09342372,-116.834109,305
Mojave,1,Barstow_1,35.09349297,-116.8340293,306
Mojave,1,Barstow_1,35.09363874,-116.8351849,307
Mojave,1,Barstow_1,35.09363418,-116.835226,308
Mojave,1,Barstow_1,35.09361742,-116.8351802,309
Mojave,1,Barstow_1,35.09362011,-116.8352609,310
Mojave,1,Barstow_1,35.09356851,-116.8352323,311
Mojave,1,Barstow_1,35.09352749,-116.8352993,312
Mojave,1,Barstow_1,35.09348588,-116.8352132,313
Mojave,1,Barstow_1,35.09354098,-116.8351431,314
Mojave,1,Barstow_1,35.09350381,-116.8350828,315
Mojave,1,Barstow_1,35.09351957,-116.8350271,316
Mojave,1,Barstow_1,35.09346645,-116.8350078,317
Mojave,1,Barstow_1,35.09350896,-116.8352919,318
Mojave,1,Barstow_1,35.09348813,-116.8352641,319
Mojave,1,Barstow_1,35.09343867,-116.8353045,320
Mojave,1,Barstow_1,35.09339582,-116.8352519,321
Mojave,1,Barstow_1,35.09345029,-116.8351152,322
Mojave,1,Barstow_1,35.09342664,-116.835182,323
Mojave,1,Barstow_1,35.09345149,-116.8349323,324
Mojave,1,Barstow_1,35.09339449,-116.8349912,325
Mojave,1,Barstow_1,35.09340207,-116.8350451,326
Mojave,1,Barstow_1,35.09339529,-116.8349302,327
Mojave,1,Barstow_1,35.09338384,-116.8348871,328
Mojave,1,Barstow_1,35.09360653,-116.8353368,329
Mojave,1,Barstow_1,35.09338692,-116.8353693,330
Mojave,1,Barstow_1,35.09333623,-116.8353196,331
Mojave,1,Barstow_1,35.09336745,-116.8351699,332
Mojave,1,Barstow_1,35.09327375,-116.8352651,333
Mojave,1,Barstow_1,35.09333302,-116.8351355,334
Mojave,1,Barstow_1,35.09322005,-116.8353853,335
Mojave,1,Barstow_1,35.09329182,-116.8354105,336
Mojave,1,Barstow_1,35.09331166,-116.83505,337
Mojave,1,Barstow_1,35.09328897,-116.8350805,338
Mojave,1,Barstow_1,35.09329858,-116.8351902,339
Mojave,1,Barstow_1,35.0932613,-116.8351988,340
Mojave,1,Barstow_1,35.09320293,-116.8352491,341
Mojave,1,Barstow_1,35.09318751,-116.8353571,342
Mojave,1,Barstow_1,35.09320048,-116.8354395,343
Mojave,1,Barstow_1,35.09315642,-116.8354313,344
Mojave,1,Barstow_1,35.09313219,-116.8354726,345
