region,site,site_code,lat,long,shrub_ID
Mojave,5,Heartofmojave,34.69773344,-115.685423,1
Mojave,5,Heartofmojave,34.69768583,-115.6853967,2
Mojave,5,Heartofmojave,34.69761714,-115.6853684,3
Mojave,5,Heartofmojave,34.69781734,-115.6853696,4
Mojave,5,Heartofmojave,34.69774393,-115.6852662,5
Mojave,5,Heartofmojave,34.69774767,-115.68535,6
Mojave,5,Heartofmojave,34.69770576,-115.6853475,7
Mojave,5,Heartofmojave,34.69776352,-115.6851074,8
Mojave,5,Heartofmojave,34.69773738,-115.6851327,9
Mojave,5,Heartofmojave,34.69776763,-115.6850216,10
Mojave,5,Heartofmojave,34.69771194,-115.6850755,11
Mojave,5,Heartofmojave,34.69765416,-115.6852816,12
Mojave,5,Heartofmojave,34.69758352,-115.6852865,13
Mojave,5,Heartofmojave,34.6976656,-115.685323,14
Mojave,5,Heartofmojave,34.69755114,-115.685308,15
Mojave,5,Heartofmojave,34.69752199,-115.6852672,16
Mojave,5,Heartofmojave,34.69769045,-115.6851662,17
Mojave,5,Heartofmojave,34.69767635,-115.6851098,18
Mojave,5,Heartofmojave,34.69763868,-115.6851131,19
Mojave,5,Heartofmojave,34.69757805,-115.6852032,20
Mojave,5,Heartofmojave,34.69745036,-115.6852075,21
Mojave,5,Heartofmojave,34.6973943,-115.685208,22
Mojave,5,Heartofmojave,34.69730169,-115.6852076,23
Mojave,5,Heartofmojave,34.69738124,-115.6852827,24
Mojave,5,Heartofmojave,34.69746643,-115.685273,25
Mojave,5,Heartofmojave,34.69724307,-115.6851804,26
Mojave,5,Heartofmojave,34.69619928,-115.6846757,27
Mojave,5,Heartofmojave,34.69716104,-115.685151,28
Mojave,5,Heartofmojave,34.69709252,-115.6851214,29
Mojave,5,Heartofmojave,34.69698366,-115.6850663,30
Mojave,5,Heartofmojave,34.69693873,-115.6850648,31
Mojave,5,Heartofmojave,34.6970993,-115.6850411,32
Mojave,5,Heartofmojave,34.6971724,-115.6850596,33
Mojave,5,Heartofmojave,34.69700713,-115.6849899,34
Mojave,5,Heartofmojave,34.6970626,-115.684958,35
Mojave,5,Heartofmojave,34.69696142,-115.6849901,36
Mojave,5,Heartofmojave,34.69676652,-115.6850272,37
Mojave,5,Heartofmojave,34.69674035,-115.684994,38
Mojave,5,Heartofmojave,34.69673273,-115.6849425,39
Mojave,5,Heartofmojave,34.69672389,-115.6849057,40
