region,site,site_code,lat,long,shrub_ID
Mojave,SheepholeValley,Sheephole,34.20687637,-115.7174961,1
Mojave,SheepholeValley,Sheephole,34.20697924,-115.7175678,2
Mojave,SheepholeValley,Sheephole,34.20662696,-115.7175172,3
Mojave,SheepholeValley,Sheephole,34.20697827,-115.7179014,4
Mojave,SheepholeValley,Sheephole,34.20692131,-115.7182676,5
Mojave,SheepholeValley,Sheephole,34.20688451,-115.718428,6
Mojave,SheepholeValley,Sheephole,34.20626237,-115.7174631,7
Mojave,SheepholeValley,Sheephole,34.20607503,-115.7174616,8
Mojave,SheepholeValley,Sheephole,34.20596424,-115.717458,9
Mojave,SheepholeValley,Sheephole,34.2058499,-115.7174538,10
Mojave,SheepholeValley,Sheephole,34.20564793,-115.7174325,11
Mojave,SheepholeValley,Sheephole,34.20552185,-115.7174254,12
Mojave,SheepholeValley,Sheephole,34.2053441,-115.7174285,13
Mojave,SheepholeValley,Sheephole,34.20522837,-115.7174105,14
Mojave,SheepholeValley,Sheephole,34.20514148,-115.7174041,15
Mojave,SheepholeValley,Sheephole,34.20499408,-115.7173902,16
Mojave,SheepholeValley,Sheephole,34.2047416,-115.7173771,17
Mojave,SheepholeValley,Sheephole,34.20462117,-115.7173806,18
Mojave,SheepholeValley,Sheephole,34.20444763,-115.7175893,19
Mojave,SheepholeValley,Sheephole,34.20457922,-115.7174192,20
Mojave,SheepholeValley,Sheephole,34.20452363,-115.7173887,21
Mojave,SheepholeValley,Sheephole,34.2045195,-115.7174615,22
Mojave,SheepholeValley,Sheephole,34.20447097,-115.717472,23
Mojave,SheepholeValley,Sheephole,34.20447204,-115.717517,24
Mojave,SheepholeValley,Sheephole,34.20442086,-115.7181549,25
Mojave,SheepholeValley,Sheephole,34.20444509,-115.717771,26
Mojave,SheepholeValley,Sheephole,34.20440671,-115.7185271,27
Mojave,SheepholeValley,Sheephole,34.20439476,-115.7191107,28
Mojave,SheepholeValley,Sheephole,34.20436906,-115.7196474,29
Mojave,SheepholeValley,Sheephole,34.2043767,-115.7198273,30
Mojave,SheepholeValley,Sheephole,34.20439828,-115.7200691,31
Mojave,SheepholeValley,Sheephole,34.2068859,-115.718895,32
Mojave,SheepholeValley,Sheephole,34.20691091,-115.7184858,33
Mojave,SheepholeValley,Sheephole,34.20690255,-115.7188002,34
Mojave,SheepholeValley,Sheephole,34.20686368,-115.7192836,35
Mojave,SheepholeValley,Sheephole,34.20684788,-115.7195103,36
Mojave,SheepholeValley,Sheephole,34.20677947,-115.7200562,37
Mojave,SheepholeValley,Sheephole,34.20681465,-115.7196392,38
Mojave,SheepholeValley,Sheephole,34.20682701,-115.7199369,39
Mojave,SheepholeValley,Sheephole,34.20693403,-115.717944,40
Mojave,SheepholeValley,Sheephole,34.20690718,-115.7176725,41
Mojave,SheepholeValley,Sheephole,34.20693908,-115.718025,42
Mojave,SheepholeValley,Sheephole,34.20686222,-115.7180917,43
Mojave,SheepholeValley,Sheephole,34.20683599,-115.7179141,44
Mojave,SheepholeValley,Sheephole,34.20694982,-115.7177531,45
Mojave,SheepholeValley,Sheephole,34.20680832,-115.7179575,46
Mojave,SheepholeValley,Sheephole,34.20671413,-115.7180501,47
Mojave,SheepholeValley,Sheephole,34.20669059,-115.7181217,48
Mojave,SheepholeValley,Sheephole,34.20686666,-115.7178273,49
Mojave,SheepholeValley,Sheephole,34.20689425,-115.7176121,50
Mojave,SheepholeValley,Sheephole,34.20684575,-115.7176563,51
