region,site,site_code,lat,long,shrub_ID
Mojave,Tecopa,Tecopa,35.85221315,-116.1864274,1
Mojave,Tecopa,Tecopa,35.85185529,-116.18623,2
Mojave,Tecopa,Tecopa,35.85172102,-116.1861565,3
Mojave,Tecopa,Tecopa,35.85168196,-116.1861478,4
Mojave,Tecopa,Tecopa,35.85147633,-116.1860291,5
Mojave,Tecopa,Tecopa,35.85127482,-116.1859358,6
Mojave,Tecopa,Tecopa,35.85128139,-116.1858005,7
Mojave,Tecopa,Tecopa,35.85132562,-116.185385,8
Mojave,Tecopa,Tecopa,35.85132979,-116.185262,9
Mojave,Tecopa,Tecopa,35.85134635,-116.1850825,10
Mojave,Tecopa,Tecopa,35.8513503,-116.1850772,11
Mojave,Tecopa,Tecopa,35.85135205,-116.1850019,12
Mojave,Tecopa,Tecopa,35.85129769,-116.185481,13
Mojave,Tecopa,Tecopa,35.85137567,-116.1850493,14
Mojave,Tecopa,Tecopa,35.85217435,-116.1864247,15
Mojave,Tecopa,Tecopa,35.85224855,-116.1863493,16
Mojave,Tecopa,Tecopa,35.85214349,-116.1864078,17
Mojave,Tecopa,Tecopa,35.85217196,-116.1863673,18
Mojave,Tecopa,Tecopa,35.85213108,-116.186388,19
Mojave,Tecopa,Tecopa,35.85227214,-116.1863018,20
Mojave,Tecopa,Tecopa,35.85220349,-116.1863367,21
Mojave,Tecopa,Tecopa,35.85223897,-116.186281,22
Mojave,Tecopa,Tecopa,35.85222222,-116.1862413,23
Mojave,Tecopa,Tecopa,35.85214696,-116.1863345,24
Mojave,Tecopa,Tecopa,35.85220183,-116.1862953,25
Mojave,Tecopa,Tecopa,35.85212006,-116.1863681,26
Mojave,Tecopa,Tecopa,35.85210168,-116.1863024,27
Mojave,Tecopa,Tecopa,35.8521751,-116.1862383,28
Mojave,Tecopa,Tecopa,35.85217313,-116.1862858,29
Mojave,Tecopa,Tecopa,35.85208446,-116.1862572,30
Mojave,Tecopa,Tecopa,35.85231348,-116.1860844,31
Mojave,Tecopa,Tecopa,35.85225973,-116.1861439,32
Mojave,Tecopa,Tecopa,35.85223105,-116.1860902,33
Mojave,Tecopa,Tecopa,35.85223143,-116.1860422,34
Mojave,Tecopa,Tecopa,35.85214451,-116.1860253,35
Mojave,Tecopa,Tecopa,35.85213031,-116.1861859,36
Mojave,Tecopa,Tecopa,35.85217193,-116.1861301,37
Mojave,Tecopa,Tecopa,35.85220695,-116.1861522,38
Mojave,Tecopa,Tecopa,35.85211115,-116.1860893,39
Mojave,Tecopa,Tecopa,35.85209748,-116.1860254,40
Mojave,Tecopa,Tecopa,35.85236422,-116.1860806,41
Mojave,Tecopa,Tecopa,35.85237161,-116.1860545,42
Mojave,Tecopa,Tecopa,35.85240619,-116.1859937,43
Mojave,Tecopa,Tecopa,35.85236852,-116.1860089,44
Mojave,Tecopa,Tecopa,35.85236814,-116.1859706,45
Mojave,Tecopa,Tecopa,35.85233485,-116.1859971,46
Mojave,Tecopa,Tecopa,35.85224163,-116.1859791,47
Mojave,Tecopa,Tecopa,35.8523521,-116.1859434,48
Mojave,Tecopa,Tecopa,35.85232581,-116.1859447,49
Mojave,Tecopa,Tecopa,35.85228648,-116.1859239,50
Mojave,Tecopa,Tecopa,35.85226052,-116.1859341,51
Mojave,Tecopa,Tecopa,35.85219406,-116.1859991,52
Mojave,Tecopa,Tecopa,35.85209031,-116.1863803,53
Mojave,Tecopa,Tecopa,35.85206085,-116.1862902,54
Mojave,Tecopa,Tecopa,35.8520723,-116.1863675,55
Mojave,Tecopa,Tecopa,35.85204616,-116.1863479,56
Mojave,Tecopa,Tecopa,35.85201734,-116.186315,57
Mojave,Tecopa,Tecopa,35.85192097,-116.1862922,58
Mojave,Tecopa,Tecopa,35.85204403,-116.1861919,59
Mojave,Tecopa,Tecopa,35.85209828,-116.1862105,60
Mojave,Tecopa,Tecopa,35.85202672,-116.1861226,61
Mojave,Tecopa,Tecopa,35.85200652,-116.1862607,62
Mojave,Tecopa,Tecopa,35.85198993,-116.1862014,63
Mojave,Tecopa,Tecopa,35.85195207,-116.1861448,64
Mojave,Tecopa,Tecopa,35.85195771,-116.1860565,65
Mojave,Tecopa,Tecopa,35.85190104,-116.1860102,66
Mojave,Tecopa,Tecopa,35.85180213,-116.1862247,67
Mojave,Tecopa,Tecopa,35.85183391,-116.1860098,68
Mojave,Tecopa,Tecopa,35.85187974,-116.1861032,69
Mojave,Tecopa,Tecopa,35.85175626,-116.1860526,70
Mojave,Tecopa,Tecopa,35.85177137,-116.185961,71
Mojave,Tecopa,Tecopa,35.85174998,-116.1859923,72
Mojave,Tecopa,Tecopa,35.85172712,-116.1859509,73
Mojave,Tecopa,Tecopa,35.85223429,-116.185861,74
Mojave,Tecopa,Tecopa,35.85221659,-116.18593,75
Mojave,Tecopa,Tecopa,35.8521341,-116.1859437,76
Mojave,Tecopa,Tecopa,35.8521863,-116.1859334,77
Mojave,Tecopa,Tecopa,35.85211548,-116.1859214,78
Mojave,Tecopa,Tecopa,35.85209266,-116.1859305,79
Mojave,Tecopa,Tecopa,35.85205406,-116.1859735,80
Mojave,Tecopa,Tecopa,35.85205542,-116.1859454,81
Mojave,Tecopa,Tecopa,35.85222218,-116.1858995,82
Mojave,Tecopa,Tecopa,35.85218817,-116.1859001,83
Mojave,Tecopa,Tecopa,35.85203124,-116.1859632,84
Mojave,Tecopa,Tecopa,35.85199325,-116.1859802,85
Mojave,Tecopa,Tecopa,35.85227157,-116.1857932,86
Mojave,Tecopa,Tecopa,35.85210803,-116.1858961,87
Mojave,Tecopa,Tecopa,35.85217605,-116.185907,88
Mojave,Tecopa,Tecopa,35.85219935,-116.1858392,89
Mojave,Tecopa,Tecopa,35.8521863,-116.1858553,90
Mojave,Tecopa,Tecopa,35.85215273,-116.1858851,91
Mojave,Tecopa,Tecopa,35.85208893,-116.1858909,92
Mojave,Tecopa,Tecopa,35.85215357,-116.1858367,93
Mojave,Tecopa,Tecopa,35.85215266,-116.1858089,94
Mojave,Tecopa,Tecopa,35.85210996,-116.1858594,95
Mojave,Tecopa,Tecopa,35.85209389,-116.1858385,96
Mojave,Tecopa,Tecopa,35.85203248,-116.1859127,97
Mojave,Tecopa,Tecopa,35.85205611,-116.1858623,98
Mojave,Tecopa,Tecopa,35.85222964,-116.1857986,99
Mojave,Tecopa,Tecopa,35.8522106,-116.1857699,100
Mojave,Tecopa,Tecopa,35.8521856,-116.1857582,101
Mojave,Tecopa,Tecopa,35.85217946,-116.1858168,102
Mojave,Tecopa,Tecopa,35.85221317,-116.1857292,103
Mojave,Tecopa,Tecopa,35.85216755,-116.1857786,104
Mojave,Tecopa,Tecopa,35.85213425,-116.1858244,105
Mojave,Tecopa,Tecopa,35.85214914,-116.18577,106
Mojave,Tecopa,Tecopa,35.85219401,-116.1857117,107
Mojave,Tecopa,Tecopa,35.85217645,-116.1857404,108
Mojave,Tecopa,Tecopa,35.85214731,-116.1857372,109
Mojave,Tecopa,Tecopa,35.85214377,-116.1857124,110
Mojave,Tecopa,Tecopa,35.85214731,-116.1857372,111
Mojave,Tecopa,Tecopa,35.85210623,-116.1858029,112
Mojave,Tecopa,Tecopa,35.85210072,-116.1857577,113
Mojave,Tecopa,Tecopa,35.85204428,-116.1858453,114
Mojave,Tecopa,Tecopa,35.85203998,-116.1858732,115
Mojave,Tecopa,Tecopa,35.85213703,-116.1856826,116
Mojave,Tecopa,Tecopa,35.85212402,-116.1856815,117
Mojave,Tecopa,Tecopa,35.85210607,-116.1856656,118
Mojave,Tecopa,Tecopa,35.85210202,-116.1856803,119
Mojave,Tecopa,Tecopa,35.85208186,-116.1857316,120
Mojave,Tecopa,Tecopa,35.85207423,-116.1857778,121
Mojave,Tecopa,Tecopa,35.85204158,-116.1857961,122
Mojave,Tecopa,Tecopa,35.85204304,-116.1857472,123
Mojave,Tecopa,Tecopa,35.85243179,-116.1859235,124
Mojave,Tecopa,Tecopa,35.85246906,-116.1858353,125
Mojave,Tecopa,Tecopa,35.85245227,-116.1858711,126
Mojave,Tecopa,Tecopa,35.85245718,-116.1858532,127
Mojave,Tecopa,Tecopa,35.85240158,-116.1859529,128
Mojave,Tecopa,Tecopa,35.85244885,-116.1858438,129
Mojave,Tecopa,Tecopa,35.85241989,-116.1858581,130
Mojave,Tecopa,Tecopa,35.85244731,-116.1857883,131
Mojave,Tecopa,Tecopa,35.85240801,-116.1858368,132
Mojave,Tecopa,Tecopa,35.85238348,-116.185935,133
Mojave,Tecopa,Tecopa,35.85238989,-116.1858988,134
Mojave,Tecopa,Tecopa,35.85236651,-116.1859057,135
Mojave,Tecopa,Tecopa,35.85235006,-116.1858751,136
Mojave,Tecopa,Tecopa,35.85231454,-116.1858812,137
Mojave,Tecopa,Tecopa,35.85240951,-116.1858076,138
Mojave,Tecopa,Tecopa,35.85236737,-116.1858436,139
Mojave,Tecopa,Tecopa,35.85234683,-116.1857973,140
Mojave,Tecopa,Tecopa,35.85231396,-116.1857882,141
Mojave,Tecopa,Tecopa,35.85245216,-116.1857297,142
Mojave,Tecopa,Tecopa,35.85243406,-116.1857477,143
Mojave,Tecopa,Tecopa,35.85239577,-116.1856999,144
Mojave,Tecopa,Tecopa,35.85235211,-116.1857499,145
Mojave,Tecopa,Tecopa,35.85237762,-116.1857417,146
Mojave,Tecopa,Tecopa,35.85250534,-116.1857355,147
Mojave,Tecopa,Tecopa,35.85249009,-116.1857713,148
Mojave,Tecopa,Tecopa,35.85252993,-116.1856699,149
Mojave,Tecopa,Tecopa,35.85250346,-116.1857085,150
Mojave,Tecopa,Tecopa,35.8524649,-116.1855847,151
Mojave,Tecopa,Tecopa,35.85245027,-116.1856215,152
Mojave,Tecopa,Tecopa,35.8524716,-116.1856843,153
