region,site,site_code,lat,long,shrub_ID
Mojave,Tecopa,Tecopa_open,35.85447231,-116.1796299,1
Mojave,Tecopa,Tecopa_open,35.85437958,-116.1795391,2
Mojave,Tecopa,Tecopa_open,35.85454255,-116.1791623,3
Mojave,Tecopa,Tecopa_open,35.85468335,-116.1793384,4
Mojave,Tecopa,Tecopa_open,35.85465238,-116.1793514,5
Mojave,Tecopa,Tecopa_open,35.85458109,-116.1794574,6
Mojave,Tecopa,Tecopa_open,35.85454492,-116.1794941,7
Mojave,Tecopa,Tecopa_open,35.8545278,-116.1795907,8
Mojave,Tecopa,Tecopa_open,35.85451162,-116.1794698,9
Mojave,Tecopa,Tecopa_open,35.85446927,-116.1793119,10
Mojave,Tecopa,Tecopa_open,35.85469809,-116.1792768,11
Mojave,Tecopa,Tecopa_open,35.85462666,-116.1787591,12
Mojave,Tecopa,Tecopa_open,35.85454807,-116.1791357,13
Mojave,Tecopa,Tecopa_open,35.85453388,-116.1792801,14
Mojave,Tecopa,Tecopa_open,35.85451832,-116.1791589,15
Mojave,Tecopa,Tecopa_open,35.8545884,-116.1788847,16
Mojave,Tecopa,Tecopa_open,35.85457305,-116.1789036,17
Mojave,Tecopa,Tecopa_open,35.85457708,-116.1788073,18
Mojave,Tecopa,Tecopa_open,35.85456238,-116.1788218,19
Mojave,Tecopa,Tecopa_open,35.85454174,-116.1788125,20
Mojave,Tecopa,Tecopa_open,35.8545284,-116.1788244,21
Mojave,Tecopa,Tecopa_open,35.85452642,-116.1789786,22
Mojave,Tecopa,Tecopa_open,35.85451267,-116.1790555,23
Mojave,Tecopa,Tecopa_open,35.8545285,-116.1789056,24
Mojave,Tecopa,Tecopa_open,35.85450182,-116.1789056,25
Mojave,Tecopa,Tecopa_open,35.85451211,-116.1788463,26
Mojave,Tecopa,Tecopa_open,35.85448642,-116.1790271,27
Mojave,Tecopa,Tecopa_open,35.85449134,-116.1788072,28
Mojave,Tecopa,Tecopa_open,35.8547832,-116.1792046,29
Mojave,Tecopa,Tecopa_open,35.85470135,-116.1791314,30
Mojave,Tecopa,Tecopa_open,35.85474161,-116.1789884,31
