site_code,lat,long,shrub_ID
Avenal,36.06252276,-120.1037661,1
Avenal,36.06192396,-120.1035727,2
Avenal,36.06107058,-120.103488,3
Avenal,36.06116113,-120.1032151,4
Avenal,36.06090773,-120.1030161,5
Avenal,36.0608605,-120.1031504,6
Avenal,36.06054607,-120.1026942,7
Avenal,36.06056491,-120.1028258,8
Avenal,36.06053653,-120.1028975,9
Avenal,36.06048602,-120.1027604,10
Avenal,36.06006337,-120.1018768,11
Avenal,36.06003285,-120.1018743,12
Avenal,36.06012049,-120.1020067,13
Avenal,36.05999982,-120.1018679,14
Avenal,36.05967033,-120.1011491,15
Avenal,36.0606455,-120.101576,16
Avenal,36.06062575,-120.1015819,17
Avenal,36.06065443,-120.1017763,18
Avenal,36.06062532,-120.101761,19
Avenal,36.06058128,-120.1015827,20
Avenal,36.06093958,-120.1007726,21
Avenal,36.06088097,-120.1008101,22
Avenal,36.06088983,-120.1007625,23
Avenal,36.06104449,-120.1011239,24
Avenal,36.06094538,-120.0999039,25
Avenal,36.06133316,-120.1007448,26
Avenal,36.06113683,-120.1007979,27
Avenal,36.06101733,-120.1008511,28
Avenal,36.06145788,-120.1023879,29
Avenal,36.06169674,-120.1023252,30
