site_code,lat,long,shrub_ID
Coalinga,36.214569,-120.3060716,1
Coalinga,36.21486753,-120.3053667,2
Coalinga,36.21493311,-120.3034078,3
Coalinga,36.21497335,-120.301836,4
Coalinga,36.21504575,-120.3003199,5
Coalinga,36.21500655,-120.3003146,6
Coalinga,36.21485421,-120.30037,7
Coalinga,36.21427972,-120.3002688,8
Coalinga,36.21400831,-120.3004681,9
Coalinga,36.21399364,-120.3003811,10
Coalinga,36.21407662,-120.300601,11
Coalinga,36.21160299,-120.3009283,12
Coalinga,36.21153141,-120.3032437,13
Coalinga,36.2113845,-120.303339,14
Coalinga,36.21172568,-120.3031484,15
Coalinga,36.21176668,-120.3033055,16
Coalinga,36.21141812,-120.303878,17
Coalinga,36.21170074,-120.3037237,18
Coalinga,36.21136882,-120.305374,19
Coalinga,36.21146768,-120.3055753,20
Coalinga,36.21135236,-120.3059268,21
Coalinga,36.21149332,-120.3062559,22
Coalinga,36.21203451,-120.3062655,23
Coalinga,36.21204142,-120.3062091,24
Coalinga,36.21203757,-120.3061825,25
Coalinga,36.21193604,-120.3061282,26
Coalinga,36.21188549,-120.306118,27
Coalinga,36.21186581,-120.3060981,28
Coalinga,36.21198425,-120.3059764,29
Coalinga,36.21208618,-120.3060996,30
Coalinga,36.21208141,-120.3059256,31
Coalinga,36.21196898,-120.3058499,32
Coalinga,36.2131624,-120.306177,33
Coalinga,36.21297298,-120.301782,34
Coalinga,36.2129029,-120.3018226,35
Coalinga,36.21307516,-120.3017263,36
Coalinga,36.21305413,-120.3021559,37
Coalinga,36.21307829,-120.3016111,38
Coalinga,36.21328622,-120.3017419,39
Coalinga,36.21344408,-120.3014957,40
Coalinga,36.21344984,-120.3015482,41
Coalinga,36.21340662,-120.3020986,42
Coalinga,36.21436642,-120.3013796,43
Coalinga,36.21435468,-120.3011784,44
Coalinga,36.21449933,-120.3013826,45
Coalinga,36.21487388,-120.3014273,46
Coalinga,36.21488297,-120.3014857,47
Coalinga,36.21488902,-120.3017601,48
Coalinga,36.2148476,-120.3014631,49
Coalinga,36.21479663,-120.3012342,50
Coalinga,36.21450744,-120.3030997,51
Coalinga,36.21452644,-120.3029453,52
Coalinga,36.21426446,-120.3035479,53
Coalinga,36.21434014,-120.3035418,54
Coalinga,36.2145345,-120.3038927,55
Coalinga,36.2144209,-120.3038245,56
Coalinga,36.21426762,-120.3039752,57
Coalinga,36.21430425,-120.3038239,58
Coalinga,36.21323947,-120.3034267,59
Coalinga,36.21351424,-120.3027668,60
