site_code,lat,long,shrub_ID
Semitropic,35.66024668,-119.6141204,1
Semitropic,35.66017283,-119.6141315,2
Semitropic,35.6600242,-119.6146892,3
Semitropic,35.66017138,-119.6142992,4
Semitropic,35.66015773,-119.6142535,5
Semitropic,35.66024054,-119.6140016,6
Semitropic,35.66002131,-119.6143126,7
Semitropic,35.65994714,-119.6143237,8
Semitropic,35.65989298,-119.614416,9
Semitropic,35.65989739,-119.6143304,10
Semitropic,35.65986397,-119.6143604,11
Semitropic,35.65981375,-119.6144946,12
Semitropic,35.66005933,-119.6140371,13
Semitropic,35.66005302,-119.613996,14
Semitropic,35.66003588,-119.6139505,15
Semitropic,35.66000076,-119.6140216,16
Semitropic,35.65999628,-119.6140749,17
Semitropic,35.65997197,-119.6141093,18
Semitropic,35.65994847,-119.6141714,19
Semitropic,35.65994495,-119.6141315,20
Semitropic,35.65990607,-119.6141602,21
Semitropic,35.65993074,-119.6141005,22
Semitropic,35.65987371,-119.6141697,23
Semitropic,35.65988396,-119.6140999,24
Semitropic,35.65984927,-119.6141433,25
Semitropic,35.65984368,-119.614248,26
Semitropic,35.65983122,-119.6142784,27
Semitropic,35.65988247,-119.6140378,28
Semitropic,35.65989625,-119.6139286,29
Semitropic,35.66023874,-119.6134957,30
Semitropic,35.66024273,-119.6135467,31
Semitropic,35.66020449,-119.6134545,32
Semitropic,35.66022337,-119.613529,33
Semitropic,35.66018701,-119.6135552,34
Semitropic,35.66020162,-119.6136825,35
Semitropic,35.66017386,-119.6136153,36
Semitropic,35.66015696,-119.6136423,37
Semitropic,35.66014381,-119.6136076,38
Semitropic,35.66005617,-119.6136015,39
Semitropic,35.65982856,-119.6138437,40
Semitropic,35.65958557,-119.6149563,41
Semitropic,35.65960534,-119.6149085,42
Semitropic,35.65952831,-119.6149089,43
Semitropic,35.65947293,-119.6149254,44
Semitropic,35.65945452,-119.6149091,45
Semitropic,35.65940012,-119.6149421,46
Semitropic,35.65938514,-119.6149248,47
Semitropic,35.65957464,-119.6147859,48
Semitropic,35.65955085,-119.6147821,49
Semitropic,35.65956683,-119.6147426,50
Semitropic,35.65945043,-119.6148357,51
Semitropic,35.65938691,-119.6148619,52
Semitropic,35.65933411,-119.6148838,53
Semitropic,35.65933786,-119.6149318,54
Semitropic,35.6593357,-119.6149599,55
Semitropic,35.65916229,-119.614979,56
