state,desert,region,site_code,foundation,lat,long,elevation,MAT,MAP,aridity,aspect,area_m2,area_calc,polygon_block,area_block_m2
California,San Joaquin,San Joaquin,Avenal,Ephedra californica,36.062187,-120.101809,,,,,,139838.37,polygon,none,NA
California,San Joaquin,Carrizo,Carrizo_1,Ephedra californica,35.20177,-119.72495,,14.2,494,3.25,,284423.85,polygon,Carrizo,200418076.9
California,San Joaquin,Carrizo,Carrizo_2,Ephedra californica,35.19266,-119.71253,,14.2,494,3.25,,90491.75,polygon,Carrizo,200418076.9
California,San Joaquin,Carrizo,Carrizo_3,Ephedra californica,35.16245,-119.67445,,14,524,3.493333333,,519747.4,polygon,Carrizo,200418076.9
California,San Joaquin,Carrizo,Carrizo_4,Ephedra californica,35.11566,-119.62069,,14.5,476,3.070967742,,6593207.55,polygon,Carrizo,200418076.9
California,San Joaquin,Carrizo,Carrizo_5,Ephedra californica,35.07283,-119.6606,,14.5,476,3.070967742,,456808.29,polygon,Carrizo,200418076.9
California,San Joaquin,Carrizo,Carrizo_6,Ephedra californica,35.24177,-119.79147,,14.2,494,3.25,,761315.93,polygon,Carrizo,200418076.9
California,San Joaquin,Carrizo,Carrizo_soda_shrub,Ephedra californica,35.11921364,-119.6297363,,,,,,106223.42,polygon,Carrizo,200418076.9
California,San Joaquin,Carrizo,Carrizo_7,Ephedra californica,35.2473536,-119.808462,,,,,,81719.76,polygon,Carrizo,200418076.9
California,San Joaquin,Carrizo,Carrizo_soda_open,open,35.0906062,-119.5772678,180,,,,,6230.13,polygon,Carrizo,200418076.9
California,San Joaquin,Coalinga,Coalinga,open,36.213013,-120.304092,,,,,,212418.5,polygon,none,NA
California,San Joaquin,Cuyama,Cuyama_ERG,Ephedra californica,34.85521998,-119.48851,806.83429,14.1,542,3.589403974,,117189.08,polygon,Cuyama,55203874.45
California,San Joaquin,Cuyama,Cuyama_1,Ephedra californica,34.84872602,-119.483117,848,13.4,533,3.701388889,flat,30580.25,polygon,Cuyama,55203874.45
California,San Joaquin,Cuyama,Cuyama_2,Ephedra californica,34.85362197,-119.485961,837,13.4,533,3.701388889,flat,130538,polygon,Cuyama,55203874.45
California,San Joaquin,Cuyama,Cuyama_3,Ephedra californica,34.93824399,-119.48084,827,13.4,533,3.701388889,flat,15936.01,polygon,Cuyama,55203874.45
California,San Joaquin,Cuyama,Cuyama_4,Ephedra californica,34.94722403,-119.480491,838,13.4,533,3.701388889,east-facing slope,9933.26,polygon,Cuyama,55203874.45
California,San Joaquin,Cuyama,Cuyama_5,Ephedra californica,35.04595203,-119.889098,557,14.1,529,3.503311258,south-facing slope,22095.06,polygon,Cuyama,55203874.45
California,San Joaquin,Cuyama,Cuyama_6,Ephedra californica,35.04901201,-119.896177,504,14.1,529,3.503311258,south-facing slope,34498.5,polygon,Cuyama,55203874.45
California,San Joaquin,Lokern,Lokern,Ephedra californica,35.354308,-119.584013,,,,,,38001.36,polygon,none,NA
California,Mojave,Mojave,Mojave_1,Larrea tridentata,35.25608333,-116.0472333,313,21.5,70,0.325581395,flat,48687.13,polygon,Kelbaker,432475574.5
